Description,Employer,Language,Location,Multiple,State,Translation,Category
Angular Frontend Developer/-in 80-100%,,,Region Basel,N,Basel,Angular Frontend Developer/-in 80-100%,IT
Data Analyst (w/m/d),BROMsolutions AG Binningen BL,,Region Basel,N,Basel,Data Analyst (w/m/d),IT
Product Owner / ProjektleiterIn 80-100%,IWF AG,,Region Basel,N,Basel,Product Owner / Project Manager 80-100%,IT
Senior Web Entwickler/in 80-100%,IWF AG,,Region Basel,N,Basel,Senior Web Developer / in 80-100%,IT
"Applikationsingenieur (m/w/d) Maschinenbau & Engineering, Reinach BL",,,Reinach,N,Basel,"Application Engineer (m / w / d) Machine & Engineering, Reinach BL",IT
Praktikum Software Engineer,,,Baar Baden Bern Zürich,Y,Bern,Internship Software Engineer,IT
Software Engineer,,,Baar Baden Bern Zürich,Y,Bern,software Engineer,IT
"SQL Server Consultant - Basel, Bern oder Zürich",,,"Basel, Bern oder Zürich",Y,Bern,"SQL Server Consultant - Basel, Bern and Zurich",IT
Java Software Engineer (m/w),adesso Schweiz AG,,"Basel, Bern, Lausanne, Lugano, Zürich",Y,Bern,Java Software Engineer (m / f),IT
IT Security Engineer (m/w),adesso Schweiz AG,,"Basel, Bern, Lausanne, Zürich",Y,Bern,IT Security Engineer (m / f),IT
(Senior) Android Entwickler (m/w),adesso Schweiz AG,,"Basel, Bern, Zürich",Y,Bern,(Senior) Android Developer (m / f),IT
(Senior) Entwickler Microsoft Dynamics CRM (m/w),adesso Schweiz AG,,"Basel, Bern, Zürich",Y,Bern,(Senior) Developer Microsoft Dynamics CRM (m / w),IT
(Senior) Software Engineer (m/w) Microsoft,adesso Schweiz AG,,"Basel, Bern, Zürich",Y,Bern,(Senior) Software Engineer (m / w) Microsoft,IT
"Informatiker EFZ, Fachrichtung Applikationsentwicklung (m/w)",isolutions AG,,"Basel, Bern, Zürich",Y,Bern,"Computer EFZ, field application development (m / f)",IT
IT-Consultant Manufacturing Industries (m/w),adesso Schweiz AG,,"Basel, Bern, Zürich",Y,Bern,IT Consultant Manufacturing Industries (m / f),IT
Platform Engineer Container Technologies - Bereich Digital & Innovation (m/w),adesso Schweiz AG,,"Basel, Bern, Zürich",Y,Bern,Platform Engineer Container Technologies - the Digital & Innovation (m / f),IT
Senior IT-Consultant Life Sciences (m/w),adesso Schweiz AG,,"Basel, Bern, Zürich",Y,Bern,Senior IT Consultant Life Sciences (m / f),IT
Software Architect,isolutions AG,,"Basel, Bern, Zürich",Y,Bern,software Architect,IT
Software Engineer .NET in der Individualsoftwareentwicklung,isolutions AG,,"Basel, Bern, Zürich",Y,Bern,.NET Software Engineer in the custom software development,IT
UI/UX Spezialist,adesso Schweiz AG,,"Basel, Bern, Zürich",Y,Bern,UI / UX Specialist,IT
"Open Infrastructure Consultant - Basel, Zürich oder Bern",,,"Basel, Zürich oder Bern",Y,Bern,"Open Infrastructure Consultant - Basel, Zurich or Bern",IT
Software Architect,ERNI Schweiz AG,,Bern / Zürich,Y,Bern,software Architect,IT
Senior Cloud Workplace Engineer,isolutions AG,,Bern / Zürich / Basel,Y,Bern,Senior Cloud Engineer Workplace,IT
Technical Consultant - Digital Workplace,isolutions AG,,Bern / Zürich / Basel,Y,Bern,Technical Consultant - Digital Workplace,IT
Software Engineer AI/ML Applications 80% bis 100%,Swisscom (Schweiz) AG,,Bern and Lausanne,Y,Bern,Software Engineer AI / ML Applications 80% to 100%,IT
Senior Network Engineer (m/w),ENKOM,,Bern oder Sursee,Y,Bern,Senior Network Engineer (m / f),IT
Systems Engineer ECM (m/w),adeon ag,,Bern oder Vaduz LI,Y,Bern,Systems Engineer ECM (m / w),IT
Network Security Architect 100%,United Security Providers AG,,Bern oder Zürich,Y,Bern,Network Security Architect 100%,IT
Security Solution Engineer / Architect 80 bis 100%,United Security Providers AG,,Bern oder Zürich,Y,Bern,Security Solution Engineer / Architect 80 to 100%,IT
Senior IT Security Consultant,United Security Providers AG,,Bern oder Zürich,Y,Bern,Senior IT Security Consultant,IT
Senior Technology Consultant SAP Basis 80% bis 100%,Swisscom (Schweiz) AG,,Bern oder Zürich,Y,Bern,Senior Technology Consultant SAP Basis 80% to 100%,IT
Solution Consultant 100%,Swisscom (Schweiz) AG,,Bern oder Zürich,Y,Bern,Solution Consultant 100%,IT
Web Application Architect (PHP/Magento/Akeneo),Unic AG,,Bern oder Zürich,Y,Bern,Web Application Architect (PHP / Magento / Akeneo),IT
IT - Business Consultant (m/w),ParMag AG,,Bern und/oder Zürich,Y,Bern,IT - Business Consultant (m / w),IT
Business Analyst (w/m),ParMag AG,,"Bern, Basel und Zürich",Y,Bern,Business Analyst (m / f),IT
Consultant Senior Java (H/F) (pour la Romandie),adesso Schweiz AG,,"Bern, Lausanne",Y,Bern,Senior Java Consultant (M / F) (for Romandie),IT
.NET Software-Architekt/in (80-100%),bbv Software Services AG,,"Bern, Luzern, Zug, Zürich",Y,Bern,.NET Software Architect / in (80-100%),IT
.NET Software-Ingenieur/in (80-100%),bbv Software Services AG,,"Bern, Luzern, Zug, Zürich",Y,Bern,.NET Software Engineer / in (80-100%),IT
Java Software-Architekt/in (80-100%),bbv Software Services AG,,"Bern, Luzern, Zug, Zürich",Y,Bern,Java software architect / in (80-100%),IT
Java Software-Ingenieur/in (80-100%),bbv Software Services AG,,"Bern, Luzern, Zug, Zürich",Y,Bern,Java Software Engineer / in (80-100%),IT
Senior Java Software-Ingenieur/in (80-100%),bbv Software Services AG,,"Bern, Luzern, Zug, Zürich",Y,Bern,Senior Java Software Engineer / in (80-100%),IT
Software-Ingenieur/in für Embedded-Systeme (80-100%),bbv Software Services AG,,"Bern, Luzern, Zug, Zürich",Y,Bern,Software Engineer / in for embedded systems (80-100%),IT
Software-Ingenieur/in JEE (80-100%),bbv Software Services AG,,"Bern, Luzern, Zug, Zürich",Y,Bern,Software Engineer / in JEE (80-100%),IT
Webentwickler/in (80-100%),bbv Software Services AG,,"Bern, Luzern, Zug, Zürich",Y,Bern,Webentwickler / in (80-100%),IT
Client Engagement Manager (f/m/d),itelligence AG,,"Bern, Regensdorf",Y,Bern,Client Engagement Manager (f / m / d),IT
JavaScript Entwickler (w/m/d),itelligence AG,,"Bern, Regensdorf",Y,Bern,JavaScript Developer (f / m / d),IT
SAP Consultant S/4HANA Finanzen & Controlling,itelligence AG,,"Bern, Regensdorf",Y,Bern,SAP Consultant S / 4hana Financial Officer,IT
SAP Entwickler / Developer (w/m/d),itelligence AG,,"Bern, Regensdorf",Y,Bern,SAP developer / developer (w / m / d),IT
SAP Frontend Developer (w/m/d),itelligence AG,,"Bern, Regensdorf",Y,Bern,SAP Front Developer (w / m / d),IT
SAP Senior Entwickler / Developer (m/w/d),itelligence AG,,"Bern, Regensdorf",Y,Bern,SAP Senior Developer / Developer (m / w / d),IT
SAP Senior S/4HANA Entwickler / Developer (w/m),itelligence AG,,"Bern, Regensdorf",Y,Bern,SAP Senior S / 4hana Developer / Developer (m / f),IT
SAP Technology Consultant (w/m/d),itelligence AG,,"Bern, Regensdorf",Y,Bern,SAP Technology Consultant (w / m / d),IT
Senior SAP Basis Administrator (w/m/d),itelligence AG,,"Bern, Regensdorf",Y,Bern,Senior SAP Basis Administrator (m / f / d),IT
Senior SAP Technology Consultant (w/m/d),itelligence AG,,"Bern, Regensdorf",Y,Bern,Senior SAP Technology Consultant (w / m / d),IT
Webentwickler JavaScript (w/m/d),itelligence AG,,"Bern, Regensdorf",Y,Bern,Webentwickler JavaScript (w / m / d),IT
Radio Network Engineer 80 - 100 %,ENKOM,,"Bern, Sursee",Y,Bern,Radio Network Engineer 80-100%,IT
Radio Network Engineer 80 - 100 %,,,"Bern, Sursee",Y,Bern,Radio Network Engineer 80-100%,IT
Senior Radio Network Engineer 80-100 %,,,"Bern, Sursee",Y,Bern,Senior Radio Network Engineer 80-100%,IT
Software-Ingenieur/in Qt (80-100%),bbv Software Services AG,,"Bern, Zug, Zürich",Y,Bern,Software engineer / Qt (80-100%),IT
Frontend Angular Entwickler (m/w),adesso Schweiz AG,,"Bern, Zürich",Y,Bern,Angular frontend developer (m / f),IT
Senior Software Consultant (m/w),adesso Schweiz AG,,"Bern, Zürich",Y,Bern,Senior Software Consultant (m / w),IT
Trainee zum Junior Software Engineer / Entwickler (all genders),Accenture,,"Bern, Zürich",Y,Bern,Trainee for Junior Software Engineer / Developer (all genders),IT
Senior Security Engineer 80% bis 100%,Swisscom (Schweiz) AG,,"Bern, Zürich oder Basel",Y,Bern,Senior Engineer Security 80% to 100%,IT
Angular Developer,ERNI Schweiz AG,,Bern/ Zürich,Y,Bern,angular Developer,IT
Senior Angular Developer,ERNI Schweiz AG,,Bern/ Zürich,Y,Bern,Senior Angular Developer,IT
Senior Software Engineer Java,ERNI Schweiz AG,,Bern/ Zürich,Y,Bern,Senior Software Engineer Java,IT
Software Architect,ERNI Schweiz AG,,Bern/ Zürich,Y,Bern,software Architect,IT
Software Engineer Java,ERNI Schweiz AG,,Bern/ Zürich,Y,Bern,Java Software Engineer,IT
Requirements Engineer,ERNI Schweiz AG,,Bern/Zürich,Y,Bern,Requirements Engineer,IT
Scrum Master / Agile Coach,ERNI Schweiz AG,,Bern/Zürich,Y,Bern,Scrum Master / Agile Coach,IT
Payroll/HR-Spezialist für ERP-Beratung (w/m) 80-100%,p4b ag,,Berner Seeland,Y,Bern,Payroll / HR Specialist for ERP consulting (w / m) 80-100%,IT
Senior Cloud Software Engineer Java 80% bis 100%,Swisscom (Schweiz) AG,,Bern-Ittigen oder Zürich,Y,Bern,Senior Software Engineer Java Cloud 80% to 100%,IT
Software Engineer 80% bis 100%,Swisscom (Schweiz) AG,,Bern-Ittigen oder Zürich,Y,Bern,Software Engineer 80% to 100%,IT
DevOps Telco Cloud Network Engineer 80% bis 100%,Swisscom (Schweiz) AG,,Bern-Ittigen or Zurich,Y,Bern,DevOps Cloud Telco Network Engineer 80% to 100%,IT
Senior Cloud Software Engineer Java 80% bis 100%,Swisscom (Schweiz) AG,,Bern-Ittigen or Zurich,Y,Bern,Senior Software Engineer Java Cloud 80% to 100%,IT
Senior Architect Banking 80% bis 100%,Swisscom (Schweiz) AG,,Bern-Ittigen und Zürich,Y,Bern,Senior Architect banking 80% to 100%,IT
Senior Testmanager (m/w),stepwise AG,,"Deutschschweiz, vornehmlich Bern",Y,Bern,Senior Test Manager (m / f),IT
Product Operations Manager AutoScout24 (m/w/d),Scout24 Schweiz AG,,Flamatt / Zürich,Y,Multiple,Product Operations Manager AutoScout24 (m / w / d),IT
Senior Android Developer (ImmoScout24) m/f/d,Scout24 Schweiz AG,,Flamatt / Zürich,Y,Multiple,Senior Android Developer (ImmoScout24) m / f / d,IT
Senior Backend Developer Autoscout24/ Motoscout24 (.NET/C#) (f/m/d),Scout24 Schweiz AG,,Flamatt / Zürich,Y,Multiple,Senior backend Developer Autoscout24 / MotoScout24 (.NET / C #) (f / m / d),IT
Software Developer Ruby on Rails (100 %),GARAIO AG,,in Bern und Zürich,Y,Bern,Software Developer Ruby on Rails (100%),IT
Spezialist Business Intelligence 50-100% (m/w),WAGNER AG,,Kirchberg BE oder Rümlang ZH,Y,Bern,Specialist Business Intelligence 50-100% (w / w),IT
Application Manager Finnova 80% bis 100%,Swisscom (Schweiz) AG,,Luzern oder Bern-Ittigen,Y,Bern,Application Manager Finnova 80% to 100%,IT
SOFTWARE-INGENIEUR/IN FÜR EMBEDDED-SYSTEME (80-100%),bbv Software Services AG,,"Luzern, Zug, Bern, Zürich",Y,Bern,SOFTWARE ENGINEER / IN FOR EMBEDDED SYSTEMS (80-100%),IT
ICT Solution Engineer 80% bis 100%,Swisscom (Schweiz) AG,,"Olten, Bern und Luzern",Y,Bern,ICT Solution Engineer 80% to 100%,IT
Business Intelligence Reporting Specialist (m/w),Swiss Bankers Prepaid Services AG,,Raum Bern oder Zürich,Y,Bern,Business Intelligence Reporting Specialist (m / f),IT
IT-Security Engineer (m/w) in Reinach oder Gümligen,,,Reinach oder Gümligen,Y,Bern,IT Security Engineer (m / f) in Reinach or Gümligen,IT
Network Engineer (m/w) in Reinach oder Gümligen,,,Reinach oder Gümligen,Y,Bern,Network Engineer (m / f) in Reinach or Gümligen,IT
Principal Consultant in der Software Entwicklung (Medtech/Health) / Mitglied des Kaders,Erni Suisse SA,,Zürich / Bern,Y,Bern,Principal Consultant in software development (Medtech / Health) / Member of Management,IT
Requirements Engineer,Erni Suisse SA,,Zürich / Bern,Y,Bern,Requirements Engineer,IT
Scrum Master / Agile Coach,Erni Suisse SA,,Zürich / Bern,Y,Bern,Scrum Master / Agile Coach,IT
Senior DevOps Engineer,ERNI Schweiz AG,,Zürich / Bern,Y,Bern,Senior DevOps Engineer,IT
Senior DevOps Engineer,Erni Suisse SA,,Zürich / Bern,Y,Bern,Senior DevOps Engineer,IT
Senior Embedded Software Engineer C++,ERNI Schweiz AG,,Zürich / Bern,Y,Bern,Senior Embedded Software Engineer C ++,IT
Senior Test Automation Engineer,Erni Suisse SA,,Zürich / Bern,Y,Bern,Senior Test Automation Engineer,IT
Software Architect,Erni Suisse SA,,Zürich / Bern,Y,Bern,software Architect,IT
Software Engineer Java,Erni Suisse SA,,Zürich / Bern,Y,Bern,Java Software Engineer,IT
Test Automation Engineer,ERNI Schweiz AG,,Zürich / Bern,Y,Bern,Test Automation Engineer,IT
(Senior) Consultant SAP BI / SAP Advanced Analytics (80-100%),emineo AG,,Zürich oder Bern,Y,Bern,(Senior) Consultant SAP BI / SAP Advanced Analytics (80-100%),IT
(Senior) Consultant SAP PPM (80-100%),emineo AG,,Zürich oder Bern,Y,Bern,(Senior) Consultant SAP PPM (80-100%),IT
Agile Software Engineer - Applications,RUAG,,Zürich oder Bern,Y,Bern,Agile Software Engineer - Applications,IT
Consultant Digital Business,Thoma & Partner Management Consulting AG,,Zürich oder Bern,Y,Bern,Consultant Digital Business,IT
ICT Architect 80% bis 100%,Swisscom (Schweiz) AG,,Zürich oder Bern,Y,Bern,ICT Architect 80% to 100%,IT
Junior / Professional Fullstack Engineer (80-100%),emineo AG,,Zürich oder Bern,Y,Bern,Junior / Professional Full Stack Engineer (80-100%),IT
PL/SQL Software Engineer Oracle 80% bis 100%,Swisscom (Schweiz) AG,,Zürich oder Bern,Y,Bern,PL / SQL Software Engineer Oracle 80% to 100%,IT
Senior Fullstack Engineer (80-100%),emineo AG,,Zürich oder Bern,Y,Bern,Senior Full Stack Engineer (80-100%),IT
Senior Security Engineer 80% bis 100%,Swisscom (Schweiz) AG,,Zürich oder Bern,Y,Bern,Senior Engineer Security 80% to 100%,IT
Senior Software Engineer (80-100%),emineo AG,,Zürich oder Bern,Y,Bern,Senior Software Engineer (80-100%),IT
Software-Architekt (80-100%),emineo AG,,Zürich oder Bern,Y,Bern,Software Architect (80-100%),IT
Trainee ICT 100%,Swisscom (Schweiz) AG,,Zürich oder Bern,Y,Bern,Trainee ICT 100%,IT
Senior SAP Technology Consultant 80% bis 100%,Swisscom (Schweiz) AG,,Zürich oder Bern-Woblaufen,Y,Bern,Senior SAP Technology Consultant 80% to 100%,IT
(Senior) SAP Technology Consultant 80% bis 100%,Swisscom (Schweiz) AG,,Zürich oder Bern-Worblaufen,Y,Bern,(Senior) SAP Technology Consultant 80% to 100%,IT
Senior Security Engineer 80% bis 100%,Swisscom (Schweiz) AG,,Zurich or Bern,Y,Bern,Senior Engineer Security 80% to 100%,IT
Praktikant/in Software Engineering,AdNovum Informatik AG,,"Zürich, Bern",Y,Bern,Intern / in Software Engineering,IT
Senior IAM Engineer,AdNovum Informatik AG,,"Zürich, Bern Lausanne",Y,Bern,Senior IAM Engineer,IT
Java Architect,ELCA Informatik AG,,"Zurich, Bern or Basel",Y,Bern,Java Architect,IT
Java full stack Developer / Senior Java full stack Developer,ELCA Informatik AG,,"Zurich, Bern or Basel",Y,Bern,Java full stack Developer / Senior Java Developer full stack,IT
Web Developer (Angular),ELCA Informatik AG,,"Zurich, Bern or Basel",Y,Bern,Web Developer (Angular),IT
Senior Business Analyst,ELCA Informatik AG,,"Zürich, Bern or Basel",Y,Bern,Senior Business Analyst,IT
Principal Consultant Enterprise Architect,Erni Suisse SA,,Zürich/Bern,Y,Bern,Principal Consultant Enterprise Architect,IT
Senior Embedded Software Engineer C++,Erni Suisse SA,,Zürich/Bern,Y,Bern,Senior Embedded Software Engineer C ++,IT
Software Engineer Java,ERNI Schweiz AG,,Zürich/Bern,Y,Bern,Java Software Engineer,IT
Test Automation Engineer,Erni Suisse SA,,Zürich/Bern,Y,Bern,Test Automation Engineer,IT
Infrastructure Security Engineer,Swatch Group,,2501 Biel/Bienne,N,Bern,Infrastructure Security Engineer,IT
Regional Information Security Officer,Swatch Group,,2501 Biel/Bienne,N,Bern,Regional Information Security Officer,IT
SAP Senior Business Analyst CS,Swatch Group,,2501 Biel/Bienne,N,Bern,SAP Senior Business Analyst CS,IT
Senior SAP Material Master Data Manager,Swatch Group,,2501 Biel/Bienne,N,Bern,Senior SAP Material Master Data Manager,IT
Software Engineers C/C++,libC Technologies SA,,3003 Berne,N,Bern,Software Engineers C / C ++,IT
"C#/.NET Applikationsentwickler (w/m), 80-100%",Mathys & Scheitlin AG,,3018 Bern,N,Bern,"C # /. NET application developer (w / m), 80-100%",IT
"C#/.NET Software Engineer (w/m), 80-100%",Mathys & Scheitlin AG,,3018 Bern,N,Bern,"C # /. NET Software Engineer (m / f), 80-100%",IT
Verantwortungsvollen MS SQL-Datenbank Spezialisten (m/w),Mathys & Scheitlin AG,,3018 Bern,N,Bern,Responsible MS SQL database specialists (m / w),IT
"ABACUS BERATER DL, PRODUKTION SCHÖNBÜHL (W/M) 80-100 %",Axept Business Software AG,,3322 Bern,N,Bern,"ABACUS BERATER DL, PRODUCTION SCHÖNBÜHL (W / M) 80-100%",IT
Software-Entwickler/-in C# (Aarau),GeoWerkstatt GmbH,,Aarau,N,Aargau,Software Developer / -in C # (Aarau),IT
Network/System-Engineer 100% (w/m),MST Systemtechnik AG,,Belp,N,Bern,Network / System Engineer 100% (w / w),IT
.NET Software Architect,Akros AG,,Bern,N,Bern,.NET Software Architect,IT
(Senior) Business Analyst / Requirements Engineer m/w 60 - 100%,e3 AG,,Bern,N,Bern,(Senior) Business Analyst / Requirements Engineer m / w 60 to 100%,IT
(Senior) Functional Consultant Dynamics 365 FO (AX),ELCA Informatik AG,,Bern,N,Bern,(Senior) Consultant Functional Dynamics 365 FO (AX),IT
(Senior) ICT Architekt/in (m/w) 80-100%,Ironforge Consulting AG,,Bern,N,Bern,(Senior) ICT an architect / in (m / w) 80-100%,IT
Account Manager / Sales Cyber Security 100%,United Security Providers AG,,Bern,N,Bern,Account Manager / Sales Cyber ​​Security 100%,IT
Analytics Data Quality Manager (w/m),PostFinance,,Bern,N,Bern,Analytics Data Quality Manager (m / f),IT
Android Software-Ingenieur,ti&m AG,,Bern,N,Bern,Android Software Engineer,IT
Application Manager Senior,,,Bern,N,Bern,Application Manager Senior,IT
Applikation Engineer,Harvey Nash AG,,Bern,N,Bern,application Engineer,IT
Applikationsentwickler Fullstack oder Backend 80-100% (m/w/d),Hays (Schweiz) AG,,Bern,N,Bern,Application developers full stack or backend 80-100% (w / w / d),IT
ApplikationsentwicklerIn 80-100%,Wistar Informatik AG,,Bern,N,Bern,ApplikationsentwicklerIn 80-100%,IT
ApplikationsentwicklerIn 80-100%,Wistar Informatik AG,,Bern,N,Bern,ApplikationsentwicklerIn 80-100%,IT
ApplikationsentwicklerIn 80-100%,Wistar Informatik AG,,Bern,N,Bern,ApplikationsentwicklerIn 80-100%,IT
ApplikationsentwicklerIn 80-100%,Wistar Informatik AG,,Bern,N,Bern,ApplikationsentwicklerIn 80-100%,IT
Backend Software Engineer,AdNovum Informatik AG,,Bern,N,Bern,Backend Software Engineer,IT
"Berufsbildner Webentwicklung, UX Design m/w (80% - 100%)",ICT Berufsbildungscenter AG,,Bern,N,Bern,"Vocational trainer web development, UX Design m / w (80% - 100%)",IT
Big Data Software Engineer 80% bis 100%,Swisscom (Schweiz) AG,,Bern,N,Bern,Big Data Software Engineer 80% to 100%,IT
Business Intelligence Consultant,ELCA Informatik AG,,Bern,N,Bern,Business Intelligence Consultant,IT
Business Process Specialist Stammdaten SAP MDG (m/w),Die Schweizerische Post,,Bern,N,Bern,Business Process Specialist Master Data SAP MDG (m / f),IT
Camunda BPM Consultant,UMB AG,,Bern,N,Bern,Camunda BPM Consultant,IT
Cloud Data Architect mit einem Flair für AI,ti&m AG,,Bern,N,Bern,Cloud Data Architect with a flair for AI,IT
Consultant (m/w/d) Enterprise Architecture Management,MID GmbH,,Bern,N,Bern,Consultant (m / w / d) Enterprise Architecture Management,IT
Consultant UX / Designer,ERNI Schweiz AG,,Bern,N,Bern,Consultant UX / designer,IT
Consultant UX / Designer,Erni Suisse SA,,Bern,N,Bern,Consultant UX / designer,IT
Controller und Projektleiter,"Urs Ledermann & Partner AG, Bern",,Bern,N,Bern,Controller project and,IT
Customer Relationship Manager (80%),Feusi Bildungszentrum,,Bern,N,Bern,Customer Relationship Manager (80%),IT
Data Analyst,Comfone AG,,Bern,N,Bern,Data analyst,IT
Data Engineer,ELCA Informatik AG,,Bern,N,Bern,Data Engineer,IT
Data Scientist 80% bis 100%,Swisscom (Schweiz) AG,,Bern,N,Bern,Data Scientist 80% to 100%,IT
Data Scientist Software Analytics 80% bis 100%,Swisscom (Schweiz) AG,,Bern,N,Bern,Data Scientist Software Analytics 80% to 100%,IT
"Data-Analyst / Wissenschaftliche Assistenz, 80-100 %",Swisstransplant,,Bern,N,Bern,"Data Analyst / Research assistance, 80-100%",IT
Development Test Engineer 80 - 100% (m/w),Comlab AG,,Bern,N,Bern,Development Test Engineer 80-100% (w / w),IT
DevOps Security Engineer,AdNovum Informatik AG,,Bern,N,Bern,DevOps Security Engineer,IT
EAI-/SOA-Experten,ti&m AG,,Bern,N,Bern,EAI / SOA experts,IT
Embedded Software Engineer (m/w),adesso Schweiz AG,,Bern,N,Bern,Embedded Software Engineer (m / f),IT
Enterprise Security Architect (m/w),Die Schweizerische Post,,Bern,N,Bern,Enterprise Security Architect (m / w),IT
"Entwickler Microsoft Dynamics Business Central (w/m), 60 - 100%",fox data GmbH,,Bern,N,Bern,"Developers Microsoft Dynamics Business Central (w / m), 60-100%",IT
"Entwickler Microsoft Visual Studio (w/m), 60 - 100%",fox data GmbH,,Bern,N,Bern,"Developers Microsoft Visual Studio (w / m), 60-100%",IT
ERP Lead Developer / DevOps 80-100% (w/m),p3b AG,,Bern,N,Bern,ERP Lead Developer / DevOps 80-100% (w / m),IT
ERP Lead Developer / DevOps 80-100% (w/m),p3b AG,,Bern,N,Bern,ERP Lead Developer / DevOps 80-100% (w / m),IT
ERP-/CRM-/DYNAMICS-CONSULTANT (m/w),mühlemann IT-personal ag,,Bern,N,Bern,ERP / CRM / DYNAMICS CONSULTANT (m / w),IT
Escalation Manager Network Management 80% bis 100%,Swisscom (Schweiz) AG,,Bern,N,Bern,Escalation Manager Network Management 80% to 100%,IT
ETL developer with focus on Oracle PL/SQL,ITech Consult AG,,Bern,N,Bern,ETL developer with focus on Oracle PL / SQL,IT
"Fachspezialist/in Web, IT, GIS und Content 80%",Stiftung SchweizMobil,,Bern,N,Bern,"Specialist / in Web, IT, GIS and content 80%",IT
Frontend Software Engineer,AdNovum Informatik AG,,Bern,N,Bern,Frontend Software Engineer,IT
Frontend Software Engineer,AdNovum Informatik AG,,Bern,N,Bern,Frontend Software Engineer,IT
Full Stack Developer,Liip AG,,Bern,N,Bern,Full Stack Developer,IT
Full Stack Web Engineer Java,Akros AG,,Bern,N,Bern,Full Stack Web Engineer Java,IT
Fullstack EntwicklerIn 80 - 100% (m/w),Wistar Informatik AG,,Bern,N,Bern,Full stack EntwicklerIn 80-100% (w / w),IT
Fullstack Java Entwickler (m/w) 80-100% // AEB001,Softcom Technologies SA,,Bern,N,Bern,Full Stack Java Developer (m / w) 80-100% // AEB001,IT
Fullstack NET Core C# Entwickler,,,Bern,N,Bern,Full Stack NET Core C # developers,IT
ICT Enterprise Architekt/-in für den Fokusbereich ERP und SAP,Die Schweizerische Post,,Bern,N,Bern,ICT Enterprise Architect / -in the focus range ERP and SAP,IT
ICT Enterprise Architekt/-in für den Fokusbereich Logistics,Die Schweizerische Post,,Bern,N,Bern,ICT Enterprise Architect / -in the focus range Logistics,IT
ICT Process Manager (w/m),Die Schweizerische Post,,Bern,N,Bern,ICT Process Manager (m / f),IT
ICT Quality Manager (Junior) (m/w),Die Schweizerische Post,,Bern,N,Bern,ICT Quality Manager (Junior) (m / f),IT
INHOUSE ICT SECURITY CONSULTANT (m/w),mühlemann IT-personal ag,,Bern,N,Bern,INHOUSE ICT security consultant (m / f),IT
IPX Signalling Engineer 100%,Comfone AG,,Bern,N,Bern,IPX Signaling Engineer 100%,IT
IT Architekt,e3 ag,,Bern,N,Bern,IT architect,IT
"IT Audit Associate, Digital Risk & Process Analytics- Trade, Industry and Services - Bern",PwC,,Bern,N,Bern,"IT Audit Associate, Digital Risk & Process Analytics Trade, Industry and Services - Bern",IT
IT Business Analyst - Bern (m/w),yellowshark AG,,Bern,N,Bern,IT Business Analyst - Bern (m / f),IT
IT Projekt Manager Datenaustausch (m/w) 100%,yellowshark AG,,Bern,N,Bern,IT Project Manager Data Exchange (m / w) 100%,IT
IT Security Consultant,e3 ag,,Bern,N,Bern,IT Security Consultant,IT
Java Architect w/m,,,Bern,N,Bern,Java Architect w / m,IT
Java Developer,Sopra Steria AG,,Bern,N,Bern,Java Developer,IT
Java Entwickler Wartung und Application Management (m/w),adesso Schweiz AG,,Bern,N,Bern,Java developers Maintenance and Application Management (m / f),IT
Java Software Architect,Akros AG,,Bern,N,Bern,Java Software Architect,IT
Junior Business Solutions Developer,ELCA Informatik AG,,Bern,N,Bern,Junior Business Solutions Developer,IT
Junior Radio Network Engineer,ENKOM,,Bern,N,Bern,Junior Radio Network Engineer,IT
Junior Radio Network Engineer 100%,,,Bern,N,Bern,Junior Radio Network Engineer 100%,IT
Junior/Mittelstufe/Senior Radio Network Engineer,cirrus44 GmbH,,Bern,N,Bern,Junior / Intermediate / Senior Radio Network Engineer,IT
Junior/Mittelstufe/Senior Radio Network Engineer,cirrus44 GmbH,,Bern,N,Bern,Junior / Intermediate / Senior Radio Network Engineer,IT
Lead Expert Java,ERNI Schweiz AG,,Bern,N,Bern,Lead Expert Java,IT
Lead Expert Java,Erni Suisse SA,,Bern,N,Bern,Lead Expert Java,IT
Lead Expert Java,ERNI Schweiz AG,,Bern,N,Bern,Lead Expert Java,IT
Linux System Engineer 80 bis 100%,United Security Providers AG,,Bern,N,Bern,Linux System Engineer 80 to 100%,IT
Microsoft Datawarehouse Consultant (m/w) - BI / DWH,,,Bern,N,Bern,Microsoft Data Warehouse Consultant (m / f) - BI / DWH,IT
Mitarbeiter Fieldservice (m/w) 100%,Alteco Informatik AG,,Bern,N,Bern,Staff Field Service (m / w) 100%,IT
Network Security Operator (Junior) 60 bis 100%,United Security Providers AG,,Bern,N,Bern,Security Network Operator (Junior) 60 to 100%,IT
Network Support - LAN/WAN,RM IT Professional Resources AG,,Bern,N,Bern,Network Support - LAN / WAN,IT
PHP Developer,Liip AG,,Bern,N,Bern,PHP Developer,IT
Platform Engineer Container Technologies - Bereich Digital & Innovation (m/w),adesso Schweiz AG,,Bern,N,Bern,Platform Engineer Container Technologies - the Digital & Innovation (m / f),IT
Product Owner Integration (w/m),Die Schweizerische Post,,Bern,N,Bern,Product Owner Integration (f / m),IT
Product-Manager IT und Teamleiter (fachlich),"Urs Ledermann & Partner AG, Bern",,Bern,N,Bern,Product Manager IT and team leader (technical),IT
Professional Embedded C/C++ Entwickler/in,Noser Engineering AG,,Bern,N,Bern,Professional Embedded C / C ++ Developer / in,IT
